DATE,TIME,COMPANY NAME,MARKET,SECTOR,STOCK CODE,CHANGE,PERCENTAGE CHANGE,VOLUME,BUY VOLUME,BUY,SELL,SELL VOLUME,LACP,OPEN,HIGH,LOW
9/18/2017,4.59 PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,-0.18,-0.94,380,21,18.9,18.96,10,19.08,19.06,19.06,18.88
9/19/2017,5.00 PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,-0.1,-0.53,1359,27,18.8,18.84,10,18.9,18.86,18.92,18.8
9/20/2017,5:00 PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,-,-,329,97,18.8,18.86,5,18.8,18.8,18.82,18.8
9/21/2017,5.00 PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,-,-,2307,17,18.78,18.86,6,18.8,18.8,18.86,18.8
9/25/2017,5.00PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,-0.5,-2.66,544,9,18.3,18.36,21,18.8,18.8,18.8,18.3
9/26/2017,5.00PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,0.16,0.87,82,27,18.34,18.46,1,18.3,18.56,18.56,18.32
9/28/2017,5.00PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,-0.34,-1.81,499,53,18.4,18.8,10,18.74,18.74,18.74,18.38
9/29/2017,5.00PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,0.2,1.09,341,5,18.44,18.62,20,18.4,18.4,18.62,18.38
10/2/2017,5.00PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,0.08,0.43,1598,3,18.32,18.68,73,18.6,18.78,18.8,18.46
10/3/2017,5.00PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,-,-,265,21,18.66,18.68,50,18.68,18.74,18.74,18.66
10/4/2017,5.00PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,-0.1,-0.54,603,10,18.5,18.58,10,18.68,18.74,18.74,18.58
10/5/2017,5.00PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,0.2,0.11,435,5,18.56,18.6,15,18.58,18.62,18.62,18.58
10/6/2017,5.00PM,HEINEKEN MALAYSIA BERHAD,MAIN MARKET,CONSUMER,3255,,,312,,,18.54,,18.5,18.64,18.64,18.5
